Flight_Number,Aircraft_Block_In_Time,Last_Bag_Delivery_Time,Delivery_Duration_Minutes,SLA_Met,Belt_Assigned,Ground_Crew_Assigned,Number_of_Bags,Belt_Occupancy_Status,First_Bag_Delivery_Time,Belt_Utilization_Index,Gate_Position,Weather_Condition_at_Arrival,Calculated_Delivery_Duration_Minutes,SLA_Compliance,Arrival_Hour,Arrival_Day_of_Week
AI754,2025-07-16 03:01:00,2025-07-16 03:31:00,30.0,1,B1,Crew_A,152,Busy,2025-07-16 03:21:35,0.69,Remote,Clear,30.0,1,3,2
AI704,2025-07-16 13:02:00,2025-07-16 13:31:51,29.86,1,B1,Crew_B,171,Free,2025-07-16 13:21:03,0.3,Remote,Clear,29.85,1,13,2
AI833,2025-07-16 20:44:00,2025-07-16 21:14:00,30.0,1,B3,Crew_A,51,Busy,2025-07-16 20:49:00,0.75,Remote,Clear,30.0,1,20,2
AI877,2025-07-16 05:44:00,2025-07-16 06:10:53,26.9,1,B3,Crew_A,210,Busy,2025-07-16 05:56:17,0.64,Contact,Clear,26.883333333333333,1,5,2
AI194,2025-07-16 12:06:00,2025-07-16 12:32:10,26.17,1,B1,Crew_D,108,Free,2025-07-16 12:26:44,0.35,Contact,Rain,26.166666666666668,1,12,2
AI649,2025-07-16 03:59:00,2025-07-16 04:23:18,24.31,1,B3,Crew_B,239,Free,2025-07-16 04:11:21,0.42,Finger,Clear,24.3,1,3,2
AI821,2025-07-16 02:02:00,2025-07-16 02:32:00,30.0,1,B2,Crew_A,180,Busy,2025-07-16 02:16:00,0.6,Contact,Fog,30.0,1,2,2
AI489,2025-07-16 08:29:00,2025-07-16 08:56:36,27.61,1,B3,Crew_B,138,Busy,2025-07-16 08:46:03,0.67,Contact,Clear,27.6,1,8,2
AI786,2025-07-16 08:44:00,2025-07-16 09:14:00,30.0,1,B2,Crew_B,248,Very Busy,2025-07-16 08:52:28,0.81,Finger,Clear,30.0,1,8,2
AI267,2025-07-16 14:24:00,2025-07-16 14:50:23,26.39,1,B2,Crew_C,99,Free,2025-07-16 14:37:31,0.41,Finger,Rain,26.383333333333333,1,14,2
AI963,2025-07-16 01:14:00,2025-07-16 01:38:11,24.2,1,B1,Crew_B,103,Very Busy,2025-07-16 01:32:09,0.86,Contact,Clear,24.183333333333334,1,1,2
AI680,2025-07-16 22:20:00,2025-07-16 22:44:03,24.05,1,B4,Crew_B,64,Free,2025-07-16 22:30:27,0.35,Contact,Clear,24.05,1,22,2
