Bag_Tag_ID,Flight_Number,Damage_Reported_Flag,Damage_Claim_Type,Damage_Reported_Time,Flight_Arrival_Time,Zone_of_Damage,Baggage_Type,Time_To_Report_Damage,Repeat_Zone_Incidents,Calculated_Time_To_Report_Damage,Is_Damaged_Bag,Damage_Reported_Hour,Damage_Reported_Day_of_Week,Damage_Report_Lag_Category
B0000000,LH167,1,Missing Handle,2025-07-16 03:49:00,2025-07-16 03:44:00,Baggage Sorting System,Hard Shell,5.0,499,5.0,1,3,2,Immediate (0-5 min)
B0000001,AI757,1,Missing Handle,2025-07-16 22:51:24,2025-07-16 22:23:00,Check-in Counter/Baggage Drop,Fragile,28.4,495,28.4,1,22,2,Quick (6-30 min)
B0000002,BA137,1,Broken Wheel,2025-07-16 02:46:26,2025-07-16 02:06:00,Check-in Counter/Baggage Drop,Fragile,40.43333333333333,495,40.43333333333333,1,2,2,Delayed (30+ min)
B0000003,SQ209,1,Scratches/Scuffs,2025-07-16 00:36:25,2025-07-16 00:17:00,Baggage Sorting System,Regular,19.416666666666668,499,19.416666666666668,1,0,2,Quick (6-30 min)
B0000004,EK512,1,Cracked Shell,2025-07-16 12:43:25,2025-07-16 12:11:00,Check-in Counter/Baggage Drop,Regular,32.416666666666664,495,32.416666666666664,1,12,2,Delayed (30+ min)
B0000005,SQ361,1,Scratches/Scuffs,2025-07-16 05:42:45,2025-07-16 05:16:00,Check-in Counter/Baggage Drop,Hard Shell,26.75,495,26.75,1,5,2,Quick (6-30 min)
B0000006,LH680,1,Broken Wheel,2025-07-16 12:29:49,2025-07-16 11:53:00,Aircraft Loading/Unloading Area,Soft Shell,36.81666666666667,517,36.81666666666667,1,12,2,Delayed (30+ min)
B0000007,LH727,1,Broken Wheel,2025-07-16 15:36:47,2025-07-16 14:59:00,Aircraft Loading/Unloading Area,Regular,37.78333333333333,517,37.78333333333333,1,15,2,Delayed (30+ min)
B0000008,SQ250,1,Scratches/Scuffs,2025-07-16 11:38:12,2025-07-16 11:22:00,Arrival Baggage Claim Belt,Fragile,16.2,497,16.2,1,11,2,Quick (6-30 min)
B0000009,BA328,1,Scratches/Scuffs,2025-07-16 19:47:22,2025-07-16 19:29:00,Transfer Baggage Re-Check,Soft Shell,18.366666666666667,492,18.366666666666667,1,19,2,Quick (6-30 min)
B0000010,BA616,1,Scratches/Scuffs,2025-07-16 02:45:00,2025-07-16 02:31:00,Check-in Counter/Baggage Drop,Hard Shell,14.0,495,14.0,1,2,2,Quick (6-30 min)
B0000011,LH536,1,Missing Handle,2025-07-16 19:44:05,2025-07-16 19:18:00,Aircraft Loading/Unloading Area,Regular,26.08333333333333,517,26.083333333333332,1,19,2,Quick (6-30 min)
B0000012,LH712,1,Broken Wheel,2025-07-16 02:29:24,2025-07-16 02:03:00,Arrival Baggage Claim Belt,Fragile,26.4,497,26.4,1,2,2,Quick (6-30 min)
B0000013,LH443,1,Cracked Shell,2025-07-16 06:43:02,2025-07-16 06:19:00,Check-in Counter/Baggage Drop,Hard Shell,24.03333333333333,495,24.033333333333335,1,6,2,Quick (6-30 min)
B0000014,EK721,1,Cracked Shell,2025-07-16 21:12:20,2025-07-16 20:50:00,Check-in Counter/Baggage Drop,Regular,22.33333333333333,495,22.333333333333332,1,21,2,Quick (6-30 min)
B0000015,LH800,1,Cracked Shell,2025-07-16 04:56:16,2025-07-16 04:32:00,Check-in Counter/Baggage Drop,Soft Shell,24.266666666666666,495,24.266666666666666,1,4,2,Quick (6-30 min)
B0000016,BA284,1,Scratches/Scuffs,2025-07-16 11:58:35,2025-07-16 11:28:00,Check-in Counter/Baggage Drop,Fragile,30.58333333333333,495,30.583333333333332,1,11,2,Delayed (30+ min)
B0000017,SQ167,1,Scratches/Scuffs,2025-07-16 20:51:14,2025-07-16 20:30:00,Arrival Baggage Claim Belt,Soft Shell,21.23333333333333,497,21.233333333333334,1,20,2,Quick (6-30 min)
B0000018,SQ768,1,Missing Handle,2025-07-16 04:01:05,2025-07-16 03:26:00,Aircraft Loading/Unloading Area,Hard Shell,35.083333333333336,517,35.083333333333336,1,4,2,Delayed (30+ min)
B0000019,SQ594,1,Missing Handle,2025-07-16 05:37:24,2025-07-16 05:12:00,Aircraft Loading/Unloading Area,Fragile,25.4,517,25.4,1,5,2,Quick (6-30 min)
B0000020,LH658,1,Missing Handle,2025-07-16 08:27:16,2025-07-16 08:02:00,Arrival Baggage Claim Belt,Regular,25.266666666666666,497,25.266666666666666,1,8,2,Quick (6-30 min)
B0000021,BA619,1,Missing Handle,2025-07-16 04:18:02,2025-07-16 03:40:00,Baggage Sorting System,Regular,38.03333333333333,499,38.03333333333333,1,4,2,Delayed (30+ min)
B0000022,SQ982,1,Broken Wheel,2025-07-16 08:00:31,2025-07-16 07:34:00,Check-in Counter/Baggage Drop,Soft Shell,26.516666666666666,495,26.516666666666666,1,8,2,Quick (6-30 min)
B0000023,EK363,1,Missing Handle,2025-07-16 08:06:15,2025-07-16 07:46:00,Arrival Baggage Claim Belt,Regular,20.25,497,20.25,1,8,2,Quick (6-30 min)
B0000024,SQ597,1,Missing Handle,2025-07-16 22:50:25,2025-07-16 22:25:00,Baggage Sorting System,Hard Shell,25.416666666666668,499,25.416666666666668,1,22,2,Quick (6-30 min)
B0000025,SQ909,1,Cracked Shell,2025-07-16 10:24:31,2025-07-16 10:01:00,Transfer Baggage Re-Check,Fragile,23.516666666666666,492,23.516666666666666,1,10,2,Quick (6-30 min)
B0000026,SQ187,1,Scratches/Scuffs,2025-07-16 10:38:38,2025-07-16 09:55:00,Aircraft Loading/Unloading Area,Soft Shell,43.63333333333333,517,43.63333333333333,1,10,2,Delayed (30+ min)
B0000027,AI465,1,Missing Handle,2025-07-16 13:10:00,2025-07-16 12:37:00,Aircraft Loading/Unloading Area,Hard Shell,33.0,517,33.0,1,13,2,Delayed (30+ min)
B0000028,EK859,1,Scratches/Scuffs,2025-07-16 08:08:56,2025-07-16 07:48:00,Transfer Baggage Re-Check,Regular,20.933333333333334,492,20.933333333333334,1,8,2,Quick (6-30 min)
B0000029,LH787,1,Cracked Shell,2025-07-16 03:33:01,2025-07-16 02:56:00,Arrival Baggage Claim Belt,Fragile,37.016666666666666,497,37.016666666666666,1,3,2,Delayed (30+ min)
B0000030,BA934,1,Scratches/Scuffs,2025-07-16 15:22:37,2025-07-16 14:58:00,Arrival Baggage Claim Belt,Regular,24.616666666666667,497,24.616666666666667,1,15,2,Quick (6-30 min)
B0000031,SQ701,1,Missing Handle,2025-07-16 21:42:52,2025-07-16 21:18:00,Aircraft Loading/Unloading Area,Soft Shell,24.866666666666667,517,24.866666666666667,1,21,2,Quick (6-30 min)
