Passenger_ID,Bag_Tag_ID,Checkin_Time,Bag_Loaded_on_Aircraft_Time,Flight_Scheduled_Departure_Time,Load_Team_Assigned,Bag_Routing_Status,Bag_Screening_Status,Checkin_Counter_Location,Trolley_Turnaround_Time,Bag_Load_Lead_Time_Minutes,Late_Load_Flag,Calculated_Bag_Load_Lead_Time_Minutes,Calculated_Late_Load_Flag,Departure_Hour,Departure_Day_of_Week,Checkin_to_Load_Duration_Minutes
PAX43158,TAG679577,2025-07-16 15:40:00,2025-07-16 17:08:12,2025-07-16 17:19:00,Team_3,Routed,Cleared,Counter_A,8.09,10.8,1,10.8,1,17,2,88.2
PAX80111,TAG347864,2025-07-16 16:39:00,2025-07-16 19:02:41,2025-07-16 19:24:00,Team_2,Routed,Manual Check,Counter_B,5.52,21.31,0,21.316666666666666,0,19,2,143.68333333333334
PAX21829,TAG962671,2025-07-16 09:39:00,2025-07-16 12:06:40,2025-07-16 12:19:00,Team_2,Routed,Held,Counter_C,9.53,12.33,1,12.333333333333334,1,12,2,147.66666666666666
PAX51573,TAG951703,2025-07-16 15:55:00,2025-07-16 18:29:34,2025-07-16 18:50:00,Team_2,Routed,Held,Counter_B,10.82,20.42,0,20.433333333333334,0,18,2,154.56666666666666
PAX64127,TAG982023,2025-07-16 13:37:00,2025-07-16 15:26:53,2025-07-16 15:45:00,Team_1,Routed,Held,Counter_A,19.65,18.12,0,18.116666666666667,0,15,2,109.88333333333334
PAX44205,TAG630930,2025-07-16 05:25:00,2025-07-16 07:17:47,2025-07-16 07:22:00,Team_3,Routed,Cleared,Counter_C,10.45,4.22,1,4.216666666666667,1,7,2,112.78333333333333
PAX52830,TAG575279,2025-07-16 03:41:00,2025-07-16 05:25:59,2025-07-16 05:48:00,Team_3,Routed,Cleared,Counter_B,14.43,22.01,0,22.016666666666666,0,5,2,104.98333333333333
PAX94030,TAG242703,2025-07-16 03:35:00,2025-07-16 05:04:23,2025-07-16 05:25:00,Team_3,Routed,Cleared,Counter_A,8.07,20.6,0,20.616666666666667,0,5,2,89.38333333333334
PAX24526,TAG265488,2025-07-16 10:56:00,2025-07-16 12:15:13,2025-07-16 12:33:00,Team_3,Routed,Cleared,Counter_A,9.65,17.78,0,17.783333333333335,0,12,2,79.21666666666667
PAX87858,TAG819064,2025-07-16 15:53:00,2025-07-16 18:31:55,2025-07-16 18:50:00,Team_3,Routed,Cleared,Counter_A,19.74,18.07,0,18.083333333333332,0,18,2,158.91666666666666
PAX44167,TAG281905,2025-07-16 21:09:00,2025-07-16 23:30:02,2025-07-16 23:52:00,Team_1,Routed,Cleared,Counter_B,10.08,21.95,0,21.966666666666665,0,23,2,141.03333333333333
PAX58182,TAG290724,2025-07-16 16:48:00,2025-07-16 17:39:57,2025-07-16 17:56:00,Team_3,Routed,Cleared,Counter_A,18.04,16.04,0,16.05,0,17,2,51.95
PAX12717,TAG124085,2025-07-16 21:07:00,2025-07-16 22:19:04,2025-07-16 22:41:00,Team_1,Routed,Cleared,Counter_B,13.14,21.93,0,21.933333333333334,0,22,2,72.06666666666666
PAX35987,TAG374499,2025-07-16 07:31:00,2025-07-16 09:47:41,2025-07-16 10:03:00,Team_2,Routed,Cleared,Counter_A,14.12,15.31,0,15.316666666666666,0,10,2,136.68333333333334
PAX21673,TAG485792,2025-07-16 08:18:00,2025-07-16 10:27:31,2025-07-16 10:36:00,Team_2,Routed,Cleared,Counter_B,9.38,8.48,1,8.483333333333333,1,10,2,129.51666666666668
PAX98291,TAG618152,2025-07-16 07:14:00,2025-07-16 07:56:54,2025-07-16 08:14:00,Team_2,Routed,Cleared,Counter_B,7.52,17.09,0,17.1,0,8,2,42.9
PAX74771,TAG500633,2025-07-16 06:36:00,2025-07-16 09:01:36,2025-07-16 09:27:00,Team_2,Routed,Cleared,Counter_C,19.31,25.39,0,25.4,0,9,2,145.6
PAX98760,TAG298561,2025-07-16 15:42:00,2025-07-16 17:48:36,2025-07-16 18:11:00,Team_2,Routed,Cleared,Counter_B,13.97,22.39,0,22.4,0,18,2,126.6
PAX40865,TAG747684,2025-07-16 18:37:00,2025-07-16 19:42:36,2025-07-16 19:58:00,Team_3,Routed,Cleared,Counter_B,6.16,15.39,0,15.4,0,19,2,65.6
PAX21237,TAG110821,2025-07-16 18:20:00,2025-07-16 19:46:23,2025-07-16 20:08:00,Team_2,Routed,Manual Check,Counter_C,15.38,21.61,0,21.616666666666667,0,20,2,86.38333333333334
PAX37815,TAG847986,2025-07-16 15:11:00,2025-07-16 17:24:32,2025-07-16 17:45:00,Team_1,Routed,Cleared,Counter_A,12.62,20.45,0,20.466666666666665,0,17,2,133.53333333333333
PAX83007,TAG161606,2025-07-16 04:27:00,2025-07-16 06:06:53,2025-07-16 06:21:00,Team_2,Routed,Cleared,Counter_C,18.65,14.11,1,14.116666666666667,1,6,2,99.88333333333334
PAX97921,TAG941218,2025-07-16 03:41:00,2025-07-16 05:37:55,2025-07-16 06:00:00,Team_2,Routed,Cleared,Counter_B,13.04,22.08,0,22.083333333333332,0,6,2,116.91666666666667
PAX97983,TAG488918,2025-07-16 07:24:00,2025-07-16 09:47:10,2025-07-16 09:57:00,Team_2,Routed,Cleared,Counter_A,10.79,9.82,1,9.833333333333334,1,9,2,143.16666666666666
PAX76027,TAG616780,2025-07-16 13:31:00,2025-07-16 15:34:07,2025-07-16 15:56:00,Team_3,Routed,Cleared,Counter_C,15.34,21.88,0,21.883333333333333,0,15,2,123.11666666666666
PAX66744,TAG248683,2025-07-16 11:10:00,2025-07-16 12:45:51,2025-07-16 13:07:00,Team_2,Routed,Manual Check,Counter_B,17.4,21.14,0,21.15,0,13,2,95.85
PAX57263,TAG550977,2025-07-16 12:39:00,2025-07-16 14:36:47,2025-07-16 14:57:00,Team_2,Routed,Cleared,Counter_C,17.34,20.21,0,20.216666666666665,0,14,2,117.78333333333333
PAX51026,TAG556943,2025-07-16 08:44:00,2025-07-16 10:07:38,2025-07-16 10:20:00,Team_1,Routed,Cleared,Counter_C,17.87,12.35,1,12.366666666666667,1,10,2,83.63333333333334
PAX96169,TAG767578,2025-07-16 17:46:00,2025-07-16 18:43:35,2025-07-16 19:03:00,Team_1,Routed,Cleared,Counter_A,7.64,19.41,0,19.416666666666668,0,19,2,57.583333333333336
PAX71636,TAG372864,2025-07-16 08:40:00,2025-07-16 10:36:20,2025-07-16 10:45:00,Team_2,Routed,Cleared,Counter_A,10.15,8.66,1,8.666666666666666,1,10,2,116.33333333333333
PAX67870,TAG473838,2025-07-16 20:50:00,2025-07-16 22:15:53,2025-07-16 22:31:00,Team_3,Routed,Cleared,Counter_A,9.94,15.11,0,15.116666666666667,0,22,2,85.88333333333334
PAX26207,TAG466586,2025-07-16 04:43:00,2025-07-16 06:53:59,2025-07-16 07:13:00,Team_1,Routed,Cleared,Counter_C,19.76,19.01,0,19.016666666666666,0,7,2,130.98333333333332
PAX76681,TAG962529,2025-07-16 12:29:00,2025-07-16 13:23:26,2025-07-16 13:36:00,Team_3,Routed,Cleared,Counter_A,6.87,12.56,1,12.566666666666666,1,13,2,54.43333333333333
PAX78945,TAG904098,2025-07-16 21:23:00,2025-07-16 22:49:02,2025-07-16 23:11:00,Team_2,Routed,Cleared,Counter_C,5.33,21.96,0,21.966666666666665,0,23,2,86.03333333333333
PAX22360,TAG444622,2025-07-16 03:22:00,2025-07-16 04:58:12,2025-07-16 05:18:00,Team_2,Routed,Cleared,Counter_B,7.83,19.79,0,19.8,0,5,2,96.2
PAX87376,TAG211222,2025-07-16 13:51:00,2025-07-16 14:46:49,2025-07-16 15:09:00,Team_3,Routed,Cleared,Counter_C,16.75,22.17,0,22.183333333333334,0,15,2,55.81666666666667
PAX72895,TAG576111,2025-07-16 11:21:00,2025-07-16 13:17:48,2025-07-16 13:38:00,Team_1,Routed,Cleared,Counter_C,14.14,20.19,0,20.2,0,13,2,116.8
PAX91574,TAG575111,2025-07-16 13:50:00,2025-07-16 15:31:00,2025-07-16 15:46:00,Team_3,Misrouted,Held,Counter_A,18.41,15.0,1,15.0,0,15,2,101.0
PAX37704,TAG151047,2025-07-16 13:00:00,2025-07-16 13:57:04,2025-07-16 14:20:00,Team_3,Routed,Cleared,Counter_C,19.18,22.92,0,22.933333333333334,0,14,2,57.06666666666667
PAX59989,TAG197046,2025-07-16 16:12:00,2025-07-16 16:55:38,2025-07-16 17:16:00,Team_2,Routed,Manual Check,Counter_A,7.14,20.35,0,20.366666666666667,0,17,2,43.63333333333333
PAX12688,TAG993749,2025-07-16 09:01:00,2025-07-16 10:47:56,2025-07-16 11:10:00,Team_3,Routed,Cleared,Counter_C,19.28,22.06,0,22.066666666666666,0,11,2,106.93333333333334
PAX30202,TAG226460,2025-07-16 12:50:00,2025-07-16 14:06:04,2025-07-16 14:31:00,Team_2,Routed,Cleared,Counter_C,13.68,24.92,0,24.933333333333334,0,14,2,76.06666666666666
PAX89103,TAG237664,2025-07-16 14:36:00,2025-07-16 16:16:31,2025-07-16 16:42:00,Team_1,Routed,Cleared,Counter_B,15.95,25.47,0,25.483333333333334,0,16,2,100.51666666666667
PAX68385,TAG506941,2025-07-16 18:08:00,2025-07-16 19:57:42,2025-07-16 20:17:00,Team_2,Routed,Cleared,Counter_B,10.02,19.29,0,19.3,0,20,2,109.7
PAX90460,TAG295408,2025-07-16 16:14:00,2025-07-16 18:19:27,2025-07-16 18:40:00,Team_2,Routed,Cleared,Counter_B,16.91,20.54,0,20.55,0,18,2,125.45
PAX98662,TAG335122,2025-07-16 07:02:00,2025-07-16 09:48:07,2025-07-16 09:59:00,Team_3,Routed,Cleared,Counter_A,7.42,10.87,1,10.883333333333333,1,9,2,166.11666666666667
PAX48103,TAG590963,2025-07-16 16:46:00,2025-07-16 17:39:12,2025-07-16 18:05:00,Team_1,Routed,Cleared,Counter_A,16.82,25.79,0,25.8,0,18,2,53.2
PAX99694,TAG415001,2025-07-16 11:15:00,2025-07-16 12:22:18,2025-07-16 12:33:00,Team_3,Routed,Cleared,Counter_A,16.0,10.7,1,10.7,1,12,2,67.3
PAX15910,TAG638354,2025-07-16 05:36:00,2025-07-16 08:12:13,2025-07-16 08:32:00,Team_3,Routed,Cleared,Counter_C,19.34,19.77,0,19.783333333333335,0,8,2,156.21666666666667
PAX84511,TAG952308,2025-07-16 11:59:00,2025-07-16 13:02:26,2025-07-16 13:22:00,Team_3,Routed,Cleared,Counter_A,15.42,19.56,0,19.566666666666666,0,13,2,63.43333333333333
PAX24933,TAG876487,2025-07-16 17:15:00,2025-07-16 18:50:03,2025-07-16 19:11:00,Team_1,Routed,Cleared,Counter_A,15.02,20.93,0,20.95,0,19,2,95.05
PAX64558,TAG838594,2025-07-16 12:58:00,2025-07-16 13:58:57,2025-07-16 14:20:00,Team_3,Routed,Cleared,Counter_B,10.77,21.04,0,21.05,0,14,2,60.95
PAX91764,TAG947075,2025-07-16 12:13:00,2025-07-16 12:59:56,2025-07-16 13:21:00,Team_1,Misrouted,Held,Counter_A,16.73,21.07,0,21.066666666666666,0,13,2,46.93333333333333
PAX34259,TAG182020,2025-07-16 11:33:00,2025-07-16 13:30:54,2025-07-16 13:55:00,Team_1,Routed,Cleared,Counter_A,10.07,24.1,0,24.1,0,13,2,117.9
PAX61764,TAG222346,2025-07-16 02:46:00,2025-07-16 04:49:30,2025-07-16 05:10:00,Team_2,Routed,Cleared,Counter_C,8.37,20.49,0,20.5,0,5,2,123.5
PAX88890,TAG861173,2025-07-16 19:02:00,2025-07-16 19:52:24,2025-07-16 20:19:00,Team_2,Routed,Manual Check,Counter_C,17.67,26.59,0,26.6,0,20,2,50.4
PAX98316,TAG823825,2025-07-16 15:20:00,2025-07-16 17:27:49,2025-07-16 17:51:00,Team_1,Routed,Cleared,Counter_A,17.95,23.17,0,23.183333333333334,0,17,2,127.81666666666666
PAX24668,TAG955604,2025-07-16 03:51:00,2025-07-16 05:23:24,2025-07-16 05:44:00,Team_1,Misrouted,Held,Counter_B,18.89,20.6,0,20.6,0,5,2,92.4
PAX95016,TAG252205,2025-07-16 10:52:00,2025-07-16 12:04:00,2025-07-16 12:27:00,Team_3,Routed,Held,Counter_A,6.39,22.99,0,23.0,0,12,2,72.0
PAX21284,TAG415535,2025-07-16 16:20:00,2025-07-16 18:49:51,2025-07-16 19:09:00,Team_1,Routed,Cleared,Counter_A,6.87,19.14,0,19.15,0,19,2,149.85
PAX68361,TAG608608,2025-07-16 17:40:00,2025-07-16 19:46:39,2025-07-16 20:01:00,Team_1,Routed,Cleared,Counter_B,8.71,14.34,1,14.35,1,20,2,126.65
PAX84636,TAG969742,2025-07-16 14:17:00,2025-07-16 16:44:47,2025-07-16 17:03:00,Team_3,Routed,Cleared,Counter_B,7.6,18.21,0,18.216666666666665,0,17,2,147.78333333333333
PAX64484,TAG989838,2025-07-16 19:00:00,2025-07-16 20:27:23,2025-07-16 20:47:00,Team_2,Routed,Cleared,Counter_A,16.05,19.6,0,19.616666666666667,0,20,2,87.38333333333334
PAX73897,TAG519095,2025-07-16 19:32:00,2025-07-16 20:13:34,2025-07-16 20:32:00,Team_3,Routed,Cleared,Counter_B,16.21,18.43,0,18.433333333333334,0,20,2,41.56666666666667
PAX40396,TAG848987,2025-07-16 03:48:00,2025-07-16 06:16:57,2025-07-16 06:33:00,Team_3,Routed,Cleared,Counter_A,9.81,16.04,0,16.05,0,6,2,148.95
PAX45107,TAG779792,2025-07-16 16:23:00,2025-07-16 18:42:22,2025-07-16 18:56:00,Team_3,Routed,Cleared,Counter_B,14.62,13.63,1,13.633333333333333,1,18,2,139.36666666666667
PAX68762,TAG831396,2025-07-16 15:51:00,2025-07-16 17:43:20,2025-07-16 18:01:00,Team_2,Routed,Cleared,Counter_B,15.22,17.66,0,17.666666666666668,0,18,2,112.33333333333333
PAX67424,TAG343377,2025-07-16 18:16:00,2025-07-16 20:53:23,2025-07-16 21:14:00,Team_3,Routed,Cleared,Counter_C,5.12,20.61,0,20.616666666666667,0,21,2,157.38333333333333
PAX96108,TAG591223,2025-07-16 08:12:00,2025-07-16 09:36:25,2025-07-16 09:56:00,Team_2,Routed,Cleared,Counter_C,16.09,19.58,0,19.583333333333332,0,9,2,84.41666666666667
PAX95524,TAG870267,2025-07-16 14:44:00,2025-07-16 16:26:23,2025-07-16 16:50:00,Team_1,Routed,Manual Check,Counter_C,19.07,23.62,0,23.616666666666667,0,16,2,102.38333333333334
PAX37159,TAG396177,2025-07-16 05:52:00,2025-07-16 07:18:22,2025-07-16 07:42:00,Team_1,Routed,Cleared,Counter_C,6.09,23.62,0,23.633333333333333,0,7,2,86.36666666666666
PAX74511,TAG205805,2025-07-16 15:32:00,2025-07-16 18:15:34,2025-07-16 18:31:00,Team_1,Routed,Cleared,Counter_A,18.17,15.42,0,15.433333333333334,0,18,2,163.56666666666666
PAX57026,TAG373477,2025-07-16 14:16:00,2025-07-16 16:18:03,2025-07-16 16:43:00,Team_3,Routed,Cleared,Counter_A,8.58,24.95,0,24.95,0,16,2,122.05
PAX18344,TAG454140,2025-07-16 15:37:00,2025-07-16 17:49:09,2025-07-16 18:07:00,Team_1,Routed,Cleared,Counter_B,12.64,17.84,0,17.85,0,18,2,132.15
PAX43793,TAG456855,2025-07-16 14:08:00,2025-07-16 16:40:15,2025-07-16 16:49:00,Team_2,Routed,Held,Counter_A,19.65,8.74,1,8.75,1,16,2,152.25
PAX77552,TAG733643,2025-07-16 07:06:00,2025-07-16 08:22:48,2025-07-16 08:45:00,Team_2,Routed,Held,Counter_A,15.75,22.2,0,22.2,0,8,2,76.8
PAX23879,TAG919621,2025-07-16 06:57:00,2025-07-16 08:31:41,2025-07-16 08:52:00,Team_1,Routed,Cleared,Counter_C,12.59,20.31,0,20.316666666666666,0,8,2,94.68333333333334
PAX25474,TAG315363,2025-07-16 14:44:00,2025-07-16 15:49:40,2025-07-16 16:10:00,Team_3,Routed,Cleared,Counter_B,14.67,20.32,0,20.333333333333332,0,16,2,65.66666666666667
PAX23014,TAG261790,2025-07-16 13:29:00,2025-07-16 16:01:03,2025-07-16 16:21:00,Team_1,Routed,Cleared,Counter_B,5.91,19.94,0,19.95,0,16,2,152.05
PAX64493,TAG906584,2025-07-16 03:24:00,2025-07-16 04:55:19,2025-07-16 05:15:00,Team_2,Routed,Cleared,Counter_C,7.64,19.68,0,19.683333333333334,0,5,2,91.31666666666666
PAX32447,TAG189374,2025-07-16 12:02:00,2025-07-16 13:04:23,2025-07-16 13:23:00,Team_3,Routed,Cleared,Counter_C,9.56,18.6,0,18.616666666666667,0,13,2,62.38333333333333
PAX42171,TAG258975,2025-07-16 18:59:00,2025-07-16 21:11:21,2025-07-16 21:26:00,Team_2,Routed,Cleared,Counter_B,18.65,14.64,1,14.65,1,21,2,132.35
PAX63648,TAG581037,2025-07-16 20:38:00,2025-07-16 21:27:44,2025-07-16 21:50:00,Team_2,Routed,Held,Counter_A,8.38,22.26,0,22.266666666666666,0,21,2,49.733333333333334
PAX11303,TAG852485,2025-07-16 18:28:00,2025-07-16 20:43:24,2025-07-16 21:04:00,Team_1,Routed,Cleared,Counter_B,10.95,20.6,0,20.6,0,21,2,135.4
PAX18056,TAG512369,2025-07-16 04:58:00,2025-07-16 06:16:37,2025-07-16 06:42:00,Team_3,Routed,Cleared,Counter_A,5.03,25.37,0,25.383333333333333,0,6,2,78.61666666666666
PAX92786,TAG848022,2025-07-16 18:22:00,2025-07-16 20:57:33,2025-07-16 21:18:00,Team_3,Routed,Held,Counter_C,13.54,20.44,0,20.45,0,21,2,155.55
PAX49888,TAG856601,2025-07-16 14:25:00,2025-07-16 15:43:25,2025-07-16 15:58:00,Team_3,Routed,Cleared,Counter_C,11.67,14.57,1,14.583333333333334,1,15,2,78.41666666666667
PAX29249,TAG834312,2025-07-16 15:19:00,2025-07-16 17:09:21,2025-07-16 17:28:00,Team_3,Routed,Held,Counter_C,7.73,18.65,0,18.65,0,17,2,110.35
PAX95463,TAG563621,2025-07-16 15:00:00,2025-07-16 16:41:24,2025-07-16 16:56:00,Team_1,Routed,Cleared,Counter_B,5.79,14.59,1,14.6,1,16,2,101.4
PAX21046,TAG138766,2025-07-16 20:37:00,2025-07-16 21:59:33,2025-07-16 22:21:00,Team_1,Routed,Cleared,Counter_C,18.02,21.45,0,21.45,0,22,2,82.55
PAX80882,TAG397719,2025-07-16 08:35:00,2025-07-16 10:44:13,2025-07-16 11:05:00,Team_2,Routed,Cleared,Counter_C,14.32,20.77,0,20.783333333333335,0,11,2,129.21666666666667
PAX30975,TAG124559,2025-07-16 03:38:00,2025-07-16 05:33:36,2025-07-16 05:56:00,Team_1,Routed,Cleared,Counter_B,14.66,22.39,0,22.4,0,5,2,115.6
PAX65410,TAG629818,2025-07-16 07:10:00,2025-07-16 08:27:50,2025-07-16 08:46:00,Team_3,Routed,Cleared,Counter_C,16.47,18.16,0,18.166666666666668,0,8,2,77.83333333333333
PAX56461,TAG229827,2025-07-16 05:31:00,2025-07-16 06:25:43,2025-07-16 06:48:00,Team_2,Routed,Cleared,Counter_C,14.58,22.27,0,22.283333333333335,0,6,2,54.71666666666667
PAX10683,TAG575159,2025-07-16 12:42:00,2025-07-16 14:56:24,2025-07-16 15:15:00,Team_3,Routed,Manual Check,Counter_C,12.49,18.59,0,18.6,0,15,2,134.4
PAX92279,TAG797848,2025-07-16 21:11:00,2025-07-16 22:38:52,2025-07-16 22:54:00,Team_2,Routed,Cleared,Counter_C,16.93,15.13,0,15.133333333333333,0,22,2,87.86666666666666
PAX85073,TAG805097,2025-07-16 07:52:00,2025-07-16 09:18:48,2025-07-16 09:45:00,Team_1,Routed,Cleared,Counter_B,13.78,26.19,0,26.2,0,9,2,86.8
PAX77692,TAG710658,2025-07-16 09:33:00,2025-07-16 11:31:06,2025-07-16 11:52:00,Team_1,Routed,Cleared,Counter_C,6.6,20.9,0,20.9,0,11,2,118.1
PAX65796,TAG968679,2025-07-16 16:13:00,2025-07-16 17:49:08,2025-07-16 18:05:00,Team_1,Routed,Cleared,Counter_B,6.94,15.86,0,15.866666666666667,0,18,2,96.13333333333334
PAX38152,TAG567836,2025-07-16 04:35:00,2025-07-16 06:59:47,2025-07-16 07:23:00,Team_3,Routed,Cleared,Counter_C,5.74,23.21,0,23.216666666666665,0,7,2,144.78333333333333
PAX61744,TAG376502,2025-07-16 21:50:00,2025-07-16 23:07:29,2025-07-16 23:31:00,Team_3,Routed,Manual Check,Counter_B,18.49,23.51,0,23.516666666666666,0,23,2,77.48333333333333
PAX64646,TAG963829,2025-07-16 08:17:00,2025-07-16 09:50:14,2025-07-16 10:09:00,Team_2,Routed,Cleared,Counter_A,17.52,18.76,0,18.766666666666666,0,10,2,93.23333333333333
PAX77264,TAG654844,2025-07-16 06:10:00,2025-07-16 08:34:26,2025-07-16 08:44:00,Team_3,Routed,Cleared,Counter_A,13.58,9.55,1,9.566666666666666,1,8,2,144.43333333333334
PAX83272,TAG487272,2025-07-16 07:00:00,2025-07-16 08:17:16,2025-07-16 08:38:00,Team_2,Routed,Cleared,Counter_C,19.97,20.73,0,20.733333333333334,0,8,2,77.26666666666667
