Bag_Tag_ID,Passenger_ID,Flight_Number,Delivery_Status,Claim_Category,Baggage_Claim_Submitted,Passenger_Arrival_Time,Final_Delivery_Time,Delivery_Delay_Minutes,Transfer_Flight_Count,Baggage_Tracking_Sensor_Data,Calculated_Delivery_Delay_Minutes,Is_Mishandled,Transfer_Risk_Flag,Sensor_Tracking_Gap_Flag,Arrival_Hour,Arrival_Day_of_Week
TAG505042,PAX83227,AI432,Delivered,No Claim,0,2025-07-16 00:39:00,2025-07-16 00:56:47,17.78,2,Complete,17.783333333333335,0,1,0,0,2
TAG436007,PAX73932,AI891,Delivered,No Claim,0,2025-07-16 21:18:00,2025-07-16 21:33:37,15.63,0,Complete,15.616666666666667,0,0,0,21,2
TAG964930,PAX44302,AI329,Delivered,No Claim,0,2025-07-16 00:12:00,2025-07-16 00:22:00,10.0,1,Complete,10.0,0,1,0,0,2
TAG421513,PAX92329,AI738,Delivered,No Claim,0,2025-07-16 03:56:00,2025-07-16 04:11:03,15.05,1,Complete,15.05,0,1,0,3,2
TAG808236,PAX77149,AI944,Delivered,No Claim,0,2025-07-16 18:04:00,2025-07-16 18:20:20,16.34,1,Complete,16.333333333333332,0,1,0,18,2
TAG972831,PAX24836,AI592,Delivered,No Claim,0,2025-07-16 19:30:00,2025-07-16 19:40:00,10.0,0,Complete,10.0,0,0,0,19,2
TAG272820,PAX16145,AI303,Delivered,No Claim,0,2025-07-16 16:53:00,2025-07-16 17:09:13,16.23,2,Complete,16.216666666666665,0,1,0,16,2
TAG838916,PAX53727,AI695,Delivered,No Claim,0,2025-07-16 07:17:00,2025-07-16 07:35:38,18.64,0,Partial Data,18.633333333333333,0,0,1,7,2
TAG931994,PAX14940,AI188,Delivered,No Claim,0,2025-07-16 11:13:00,2025-07-16 11:28:02,15.05,0,Complete,15.033333333333333,0,0,0,11,2
TAG513695,PAX50315,AI190,Delivered,No Claim,0,2025-07-16 10:18:00,2025-07-16 10:30:02,12.04,2,Complete,12.033333333333333,0,1,0,10,2
TAG575714,PAX24093,AI434,Delivered,No Claim,0,2025-07-16 10:12:00,2025-07-16 10:22:00,10.0,0,Complete,10.0,0,0,0,10,2
TAG212430,PAX38389,AI846,Delivered,No Claim,0,2025-07-16 05:23:00,2025-07-16 05:39:17,16.29,1,Complete,16.283333333333335,0,1,0,5,2
TAG749466,PAX38110,AI937,Delivered,No Claim,0,2025-07-16 13:30:00,2025-07-16 13:40:08,10.14,2,Partial Data,10.133333333333333,0,1,1,13,2
TAG863197,PAX78750,AI199,Delivered,No Claim,0,2025-07-16 07:51:00,2025-07-16 08:07:53,16.89,0,Sensor Malfunction,16.883333333333333,0,0,1,7,2
TAG546955,PAX68632,AI971,Delivered,No Claim,0,2025-07-16 10:02:00,2025-07-16 10:22:35,20.59,0,Complete,20.583333333333332,0,0,0,10,2
TAG116836,PAX91365,AI372,Delivered,No Claim,0,2025-07-16 04:44:00,2025-07-16 04:54:00,10.0,2,Complete,10.0,0,1,0,4,2
TAG774561,PAX24300,AI390,Delivered,No Claim,0,2025-07-16 02:02:00,2025-07-16 02:14:54,12.9,0,Complete,12.9,0,0,0,2,2
TAG914044,PAX56381,AI281,Delivered,No Claim,0,2025-07-16 14:24:00,2025-07-16 14:38:22,14.37,1,Partial Data,14.366666666666667,0,1,1,14,2
TAG745627,PAX79364,AI224,Delivered,No Claim,0,2025-07-16 22:37:00,2025-07-16 22:57:48,20.81,0,Missing Data,20.8,0,0,1,22,2
TAG649161,PAX71982,AI674,Delivered,No Claim,0,2025-07-16 01:38:00,2025-07-16 01:53:24,15.41,0,Complete,15.4,0,0,0,1,2
TAG868083,PAX27253,AI875,Delivered,No Claim,0,2025-07-16 15:00:00,2025-07-16 15:13:41,13.69,1,Partial Data,13.683333333333334,0,1,1,15,2
