Bag_Tag_ID,Inbound_Flight_Number,Outbound_Flight_Number,Inbound_Arrival_Time,Outbound_Departure_Time,Airport_MCT_for_Transfer,Gate_to_Gate_Distance,Transfer_Path_Type,Transfer_Buffer_Minutes,Bag_Transfer_Time,SLA_Compliance,Calculated_Transfer_Buffer_Minutes,SLA_Compliance_Calculated,Inbound_Arrival_Hour,Inbound_Arrival_Day_of_Week,MCT_Buffer_Difference
B0001706,SQ836,EK883,2025-07-16 13:46:00,2025-07-16 14:32:35,30,930.1156343551156,Manual,46.6,44.41,1,46.583333333333336,1,13,2,16.583333333333336
B0001133,BA523,LH893,2025-07-16 22:39:00,2025-07-16 23:15:49,30,344.00090433713854,Auto,36.83,33.85,1,36.81666666666667,1,22,2,6.81666666666667
B0001185,SQ325,LH522,2025-07-16 03:54:00,2025-07-16 04:22:01,30,434.6246098243124,Auto,28.03,23.69,1,28.016666666666666,0,3,2,-1.9833333333333343
B0000447,AI849,AI633,2025-07-16 14:29:00,2025-07-16 16:17:18,90,790.6119151819046,Auto,108.3,108.3,1,108.3,1,14,2,18.299999999999997
B0001612,LH999,BA861,2025-07-16 07:35:00,2025-07-16 08:08:41,30,1100.2222004699645,Manual,33.7,33.7,1,33.68333333333333,1,7,2,3.68333333333333
B0001755,LH236,SQ229,2025-07-16 19:56:00,2025-07-16 21:09:11,75,489.0169192464575,Auto,73.19,67.82,1,73.18333333333334,0,19,2,-1.8166666666666629
B0002038,SQ436,AI605,2025-07-16 10:13:00,2025-07-16 11:12:24,45,507.4373110647617,Auto,59.41,52.42,1,59.4,1,10,2,14.399999999999999
B0003572,BA378,BA442,2025-07-16 17:34:00,2025-07-16 18:51:07,75,1145.7519799074662,Manual,77.12,81.15,0,77.11666666666666,1,17,2,2.11666666666666
B0002941,AI587,EK769,2025-07-16 06:53:00,2025-07-16 08:26:33,90,610.3628362471085,Auto,93.55,102.42,0,93.55,1,6,2,3.549999999999997
B0002049,SQ169,LH107,2025-07-16 04:55:00,2025-07-16 05:38:23,45,560.5154802197823,Manual,43.4,38.71,1,43.38333333333333,0,4,2,-1.6166666666666671
